.header.seq,.header.stamp.secs,.header.stamp.nsecs,.transform.translation.x,.transform.translation.y,.transform.translation.z
148611,1682211421,863829,-0.702020336,5.92200287,0.892381427
148612,1682211421,11333821,-0.701638929,5.922786634,0.897349042
148613,1682211421,22593405,-0.701248904,5.923437785,0.902638211
148614,1682211421,31484990,-0.70095321,5.924105501,0.907231389
148615,1682211421,41592536,-0.700529606,5.924687109,0.912024174
148616,1682211421,50841175,-0.700117223,5.925341092,0.91692249
148617,1682211421,61482683,-0.699735682,5.925987646,0.921746498
148618,1682211421,71918265,-0.699316292,5.926665827,0.926740926
148619,1682211421,81977227,-0.698963365,5.92701117,0.931335163
148620,1682211421,94137463,-0.698453968,5.927466367,0.936471417
148621,1682211421,102389401,-0.698123362,5.928361615,0.94133977
148622,1682211421,111996551,-0.697642933,5.928903253,0.94644414
148623,1682211421,122498223,-0.697201965,5.929578775,0.951178713
148624,1682211421,132646993,-0.696703147,5.929948871,0.955965043
148625,1682211421,142659157,-0.696417394,5.930529234,0.960848022
148626,1682211421,152198778,-0.695898657,5.931090479,0.966188019
148627,1682211421,162166532,-0.695318027,5.931602817,0.970234473
148628,1682211421,172216231,-0.694784266,5.932045783,0.975188868
148629,1682211421,183280450,-0.694441618,5.932634504,0.980081902
148630,1682211421,192505198,-0.693905482,5.933210807,0.985112308
148631,1682211421,202527129,-0.693379138,5.933568214,0.990033945
148632,1682211421,212400007,-0.693078746,5.934103975,0.995077765
148633,1682211421,222859549,-0.692487116,5.934534216,1.000011265
148634,1682211421,233828065,-0.692024366,5.935019148,1.005126212
148635,1682211421,242265977,-0.691526492,5.935488255,1.010062742
148636,1682211421,253725570,-0.690981069,5.935906168,1.014872496
148637,1682211421,262551165,-0.690206846,5.936420263,1.020024108
148638,1682211421,273657713,-0.689702609,5.936684004,1.024945224
148639,1682211421,282316048,-0.689315875,5.93704124,1.029864327
148640,1682211421,293664259,-0.688753531,5.937439751,1.0348188
148641,1682211421,302578293,-0.688206362,5.937720586,1.039693103
148642,1682211421,312685310,-0.687675012,5.938095303,1.044811806
148643,1682211421,322253576,-0.686926908,5.938292146,1.049606831
148644,1682211421,332637497,-0.686483023,5.938696047,1.054811717
148645,1682211421,342470574,-0.685888139,5.938994783,1.059760519
148646,1682211421,353468448,-0.685224467,5.93922201,1.064586569
148647,1682211421,362476271,-0.684623577,5.939432934,1.069652639
148648,1682211421,372657493,-0.684226683,5.939648204,1.074677991
148649,1682211421,383111101,-0.683545038,5.939802976,1.079621937
148650,1682211421,392246051,-0.683070229,5.939947291,1.084812849
148651,1682211421,402685073,-0.682333382,5.94014741,1.089873962
148652,1682211421,412737310,-0.681597954,5.940213505,1.094738148
148653,1682211421,422907692,-0.681017881,5.940517779,1.099743161
148654,1682211421,432865397,-0.680248927,5.940705293,1.104483712
148655,1682211421,442467580,-0.679581997,5.940800566,1.109458898
148656,1682211421,453707436,-0.678776368,5.940812205,1.1143272
148657,1682211421,464129824,-0.678163883,5.9408799,1.119278065
148658,1682211421,472578794,-0.677416333,5.941022536,1.124417878
148659,1682211421,483035475,-0.676778207,5.941017922,1.129271328
148660,1682211421,492634817,-0.6760259,5.941071787,1.134332594
148661,1682211421,502736041,-0.675228058,5.941083408,1.139243805
148662,1682211421,513646599,-0.674495552,5.941113031,1.144363983
148663,1682211421,522475520,-0.673756052,5.940977887,1.149251288
148664,1682211421,532482741,-0.672982575,5.941015454,1.15426851
148665,1682211421,542621267,-0.67226106,5.940950849,1.159049716
148666,1682211421,552470390,-0.671470145,5.940879491,1.163738101
148667,1682211421,562621897,-0.670714121,5.940820421,1.168366162
148668,1682211421,572858605,-0.669944381,5.940768863,1.173059973
148669,1682211421,583943835,-0.669149704,5.940698684,1.177519004
148670,1682211421,592576803,-0.668356877,5.940645208,1.181932171
148671,1682211421,602666107,-0.667504039,5.940479112,1.186151047
148672,1682211421,613328002,-0.666821687,5.940493843,1.190264083
148673,1682211421,623540089,-0.665998115,5.940263459,1.194261646
148674,1682211421,632790257,-0.665184993,5.940193342,1.198401178
148675,1682211421,642506579,-0.664489612,5.939920416,1.202347826
148676,1682211421,652870712,-0.663734261,5.939991557,1.206003523
148677,1682211421,662868817,-0.662985308,5.939834362,1.209813786
148678,1682211421,672358720,-0.662207176,5.939711191,1.213379912
148679,1682211421,683059167,-0.661379976,5.9397096,1.216697679
148680,1682211421,692686484,-0.66056744,5.939605885,1.220084579
148681,1682211421,702943742,-0.659766086,5.939451915,1.223456478
148682,1682211421,712623918,-0.659030311,5.939426751,1.227087103
148683,1682211421,722346598,-0.658251512,5.939281477,1.230279903
148684,1682211421,732672894,-0.657453156,5.939053839,1.23299556
