.header.seq,.header.stamp.secs,.header.stamp.nsecs,.transform.translation.x,.transform.translation.y,.transform.translation.z
148620,1682211421,81977227,-0.246966565,2.014448959,0.193191118
148621,1682211421,94137463,-0.246966688,2.014475528,0.19321567
148622,1682211421,102389401,-0.246978822,2.014492488,0.193229319
148623,1682211421,111996551,-0.24695478,2.014507594,0.193218955
148624,1682211421,122498223,-0.247045102,2.014474781,0.193264938
148625,1682211421,132646993,-0.246948578,2.014443141,0.193242674
148626,1682211421,142659157,-0.247002313,2.014534087,0.193057851
148627,1682211421,152198778,-0.246931681,2.014433208,0.193401297
148628,1682211421,162166532,-0.246987228,2.014530553,0.193176013
148629,1682211421,172216231,-0.247040306,2.014735968,0.193035146
148630,1682211421,183280450,-0.24710867,2.014773339,0.193149117
148631,1682211421,192505198,-0.247081676,2.014761718,0.193154922
148632,1682211421,202527129,-0.247076077,2.014762319,0.193160875
148633,1682211421,212400007,-0.247072779,2.014670876,0.193308019
148634,1682211421,222859549,-0.247115961,2.014773914,0.193202427
148635,1682211421,233828065,-0.247144431,2.014842234,0.193093021
148636,1682211421,242265977,-0.247176795,2.014889207,0.192756925
148637,1682211421,253725570,-0.246990323,2.014455516,0.193404553
148638,1682211421,262551165,-0.24693688,2.014476194,0.193334087
148639,1682211421,273657713,-0.24697876,2.014516697,0.193386997
148640,1682211421,282316048,-0.247004826,2.014522864,0.193366588
148641,1682211421,293664259,-0.247025841,2.014577318,0.193373375
148642,1682211421,302578293,-0.247037479,2.014548624,0.193381643
148643,1682211421,312685310,-0.24700639,2.014487772,0.193572919
148644,1682211421,322253576,-0.247029843,2.014448674,0.193576593
148645,1682211421,332637497,-0.247170234,2.01466012,0.193390974
148646,1682211421,342470574,-0.247049472,2.014508692,0.193669785
148647,1682211421,353468448,-0.247198091,2.014781785,0.19317206
148648,1682211421,362476271,-0.247049803,2.014551921,0.193487732
148649,1682211421,372657493,-0.247030321,2.014561095,0.193588803
148650,1682211421,383111101,-0.247042843,2.014526747,0.193661316
148651,1682211421,392246051,-0.247110494,2.014578756,0.193559544
148652,1682211421,402685073,-0.247059771,2.014484219,0.193742264
148653,1682211421,412737310,-0.246915566,2.014392507,0.193850588
148654,1682211421,422907692,-0.24707295,2.014486593,0.193816979
148655,1682211421,432865397,-0.247089661,2.014470671,0.193910023
148656,1682211421,442467580,-0.247077695,2.014440829,0.193923329
148657,1682211421,453707436,-0.247230092,2.014743274,0.193735689
148658,1682211421,464129824,-0.247149184,2.014509283,0.193871911
148659,1682211421,472578794,-0.246981608,2.014377178,0.19423466
148660,1682211421,483035475,-0.247037797,2.014463102,0.194175834
148661,1682211421,492634817,-0.24726499,2.014663113,0.193833023
148662,1682211421,502736041,-0.247032779,2.014449961,0.194233521
148663,1682211421,513646599,-0.246988986,2.014438086,0.194284703
148664,1682211421,522475520,-0.24694896,2.014486611,0.19431709
148665,1682211421,532482741,-0.24707043,2.014692173,0.194065514
148666,1682211421,542621267,-0.246921767,2.014384801,0.194428827
148667,1682211421,552470390,-0.246969662,2.014463282,0.194198355
148668,1682211421,562621897,-0.246862972,2.014422382,0.194503805
148669,1682211421,572858605,-0.246922188,2.014453503,0.194561732
148670,1682211421,583943835,-0.246916845,2.014468005,0.194623767
148671,1682211421,592576803,-0.246751185,2.014251512,0.194935629
148672,1682211421,602666107,-0.246760679,2.014229894,0.194872944
148673,1682211421,613328002,-0.246778324,2.014355307,0.194938533
148674,1682211421,623540089,-0.246838571,2.014336122,0.194999902
148675,1682211421,632790257,-0.246782697,2.01429639,0.195081447
148676,1682211421,642506579,-0.246709915,2.014222409,0.195264825
148677,1682211421,652870712,-0.246741771,2.014297773,0.195298562
148678,1682211421,662868817,-0.246720006,2.014229627,0.195320118
148679,1682211421,672358720,-0.246717085,2.014116603,0.195453111
148680,1682211421,683059167,-0.246691395,2.01417418,0.195465991
148681,1682211421,692686484,-0.246622806,2.014108852,0.19555907
148682,1682211421,702943742,-0.246667766,2.01420337,0.195744654
148683,1682211421,712623918,-0.246781887,2.014302706,0.195511616
148684,1682211421,722346598,-0.246515031,2.014130106,0.195690882
148685,1682211421,732672894,-0.246486956,2.014093511,0.195976282
148686,1682211421,743411606,-0.246450512,2.013939368,0.196149965
148687,1682211421,752777716,-0.246412532,2.013989525,0.196193929
148688,1682211421,762988461,-0.246462232,2.014036592,0.196127215
148689,1682211421,772261276,-0.24641889,2.013868537,0.196325373
148690,1682211421,783138718,-0.246408114,2.01389575,0.196425134
148691,1682211421,792393010,-0.246407903,2.013886506,0.196530225
148692,1682211421,802702025,-0.246352249,2.013848714,0.196607409
148693,1682211421,813621101,-0.246253649,2.013760772,0.196807187
148694,1682211421,823208686,-0.2463359,2.013944675,0.196732087
148695,1682211421,833132715,-0.246247308,2.013845195,0.197024154
148696,1682211421,842333005,-0.246333968,2.013917782,0.197053501
148697,1682211421,853434619,-0.246283521,2.01393484,0.19710825
148698,1682211421,865663994,-0.246206552,2.013893533,0.19736339
148699,1682211421,872832301,-0.246140603,2.013828788,0.1974845
148700,1682211421,882876899,-0.246137696,2.013859365,0.197541685
148701,1682211421,892484364,-0.246036849,2.013848564,0.197906863
148702,1682211421,905169724,-0.246008441,2.013759506,0.197834528
148703,1682211421,912334210,-0.246130081,2.01393496,0.197649353
148704,1682211421,924071822,-0.246223871,2.01400565,0.197665547
148705,1682211421,932374688,-0.246230092,2.014160149,0.197838069
148706,1682211421,942367417,-0.246162242,2.014089663,0.198083321
148707,1682211421,953403987,-0.246083502,2.014123483,0.198257137
148708,1682211421,963351442,-0.246151503,2.014047492,0.198335398
148709,1682211421,973158902,-0.246279432,2.014118182,0.198362567
148710,1682211421,982653822,-0.246208307,2.014112068,0.198561573
148711,1682211421,992276651,-0.246197624,2.013998096,0.198748814
148712,1682211422,2387176,-0.246757819,2.013709226,0.19838707
148713,1682211422,12499945,-0.246857163,2.013800787,0.198312305
148714,1682211422,22410296,-0.246799176,2.013709197,0.198510699
148715,1682211422,35290853,-0.246822143,2.013698005,0.198661158
148716,1682211422,44846403,-0.246862744,2.013834991,0.198557344
148717,1682211422,53318912,-0.246858402,2.013784669,0.198745152
148718,1682211422,64102993,-0.246906989,2.013780255,0.198922596
148719,1682211422,72182757,-0.246934335,2.013654924,0.199063544
148720,1682211422,82288835,-0.246939594,2.013634781,0.19922429
148721,1682211422,93237690,-0.246386058,2.013761029,0.20018103
148722,1682211422,102256341,-0.246444802,2.013865634,0.200579334
148723,1682211422,113161381,-0.246292964,2.01339138,0.200945056
148724,1682211422,122405839,-0.246312883,2.013396708,0.201174335
148725,1682211422,132752530,-0.246494708,2.013557624,0.201159701
148726,1682211422,142513764,-0.246579039,2.013556611,0.201479639
148727,1682211422,152513378,-0.246677689,2.013590651,0.201757613
148728,1682211422,163676650,-0.246639566,2.013490572,0.202173692
